Timestamp,Log Type,Message,Comment ID,Sanitized Query,Category,Intent,Energy,Verdict,HTTP Status
2026-08-29T13:45:30.481179Z,Stdout,"INFO:     169.254.169.126:58120 - ""GET /favicon.ico HTTP/1.1"" 404 Not Found",,,,,,,
2026-08-29T13:45:30.288967Z,Stdout,"INFO:     169.254.169.126:58106 - ""GET /api/health%5D%28https%3A//yt-ayochat-848283871943.us-central1.run.app/api/health%29 HTTP/1.1"" 404 Not Found",,,,,,,
2026-08-29T13:32:40.263446Z,Stdout,"INFO:     169.254.169.126:44966 - ""GET /api/health HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T13:32:36.573728Z,Stdout,"Default STARTUP TCP probe succeeded after 1 attempt for container ""yt-ayochat-1"" on port 8080.",,,,,,,
2026-08-29T13:32:36.573423Z,Stdout,INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),,,,,,,
2026-08-29T13:32:36.571536Z,Stdout,INFO:     Application startup complete.,,,,,,,
2026-08-29T13:32:36.570856Z,Stdout,INFO:     Waiting for application startup.,,,,,,,
2026-08-29T13:32:36.570796Z,Stdout,INFO:     Started server process [2],,,,,,,
2026-08-29T13:32:31.924229Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz: 100%|██████████| 79.3M/79.3M [00:01<00:00, 52.3MiB/s]",,,,,,,
2026-08-29T13:32:31.924215Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  96%|█████████▌| 75.8M/79.3M [00:01<00:00, 66.8MiB/s]",,,,,,,
2026-08-29T13:32:31.867420Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  87%|████████▋ | 69.3M/79.3M [00:01<00:00, 66.0MiB/s]",,,,,,,
2026-08-29T13:32:31.767362Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  79%|███████▉  | 62.7M/79.3M [00:01<00:00, 65.0MiB/s]",,,,,,,
2026-08-29T13:32:31.667278Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  71%|███████   | 56.0M/79.3M [00:01<00:00, 62.4MiB/s]",,,,,,,
2026-08-29T13:32:31.568532Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  63%|██████▎   | 49.8M/79.3M [00:01<00:00, 61.6MiB/s]",,,,,,,
2026-08-29T13:32:31.467225Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  55%|█████▍    | 43.5M/79.3M [00:01<00:00, 59.3MiB/s]",,,,,,,
2026-08-29T13:32:31.367344Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  47%|████▋     | 37.3M/79.3M [00:00<00:00, 57.4MiB/s]",,,,,,,
2026-08-29T13:32:31.266059Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  39%|███▉      | 30.8M/79.3M [00:00<00:00, 52.6MiB/s]",,,,,,,
2026-08-29T13:32:31.165928Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  32%|███▏      | 25.0M/79.3M [00:00<00:01, 48.7MiB/s]",,,,,,,
2026-08-29T13:32:31.065730Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  24%|██▍       | 19.3M/79.3M [00:00<00:01, 43.3MiB/s]",,,,,,,
2026-08-29T13:32:30.965634Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  17%|█▋        | 13.8M/79.3M [00:00<00:01, 36.6MiB/s]",,,,,,,
2026-08-29T13:32:30.864868Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  11%|█         | 8.42M/79.3M [00:00<00:02, 26.0MiB/s]",,,,,,,
2026-08-29T13:32:30.764696Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   6%|▋         | 5.00M/79.3M [00:00<00:03, 20.4MiB/s]",,,,,,,
2026-08-29T13:32:30.661989Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   1%|▏         | 1.19M/79.3M [00:00<00:13, 6.16MiB/s]",,,,,,,
2026-08-29T13:32:30.561868Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 130k/79.3M [00:00<01:08, 1.21MiB/s]",,,,,,,
2026-08-29T13:32:30.442852Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 0.00/79.3M [00:00<?, ?iB/s]",,,,,,,
2026-08-29T13:32:22.207427Z,Stdout,"Starting new instance. Reason: DEPLOYMENT_ROLLOUT - Instance started due to traffic shifting between revisions due to deployment, traffic split adjustment, or deployment health check.",,,,,,,
